Epoch,Generator Loss,Discriminator Loss
0,0.0873340591788292,-0.17199909687042236
1,0.21492788195610046,-0.5135635733604431
2,0.5389994382858276,-0.9649633169174194
3,0.9207078218460083,-1.49459707736969
4,1.0860873460769653,-2.2835333347320557
5,1.3443564176559448,-2.981661796569824
6,1.5110265016555786,-3.385765314102173
7,1.4742881059646606,-3.5125069618225098
8,1.3035742044448853,-3.701977252960205
9,1.1707464456558228,-3.701659679412842
10,1.0944823026657104,-3.383212089538574
11,1.0416358709335327,-3.9562273025512695
12,0.7663317918777466,-3.590073585510254
13,0.7099902629852295,-3.513551712036133
14,0.3321611285209656,-3.246034860610962
15,0.5293748378753662,-2.8243374824523926
16,-0.009141546674072742,-3.492736339569092
17,-0.006234804634004831,-2.6438632011413574
18,-0.14613761007785797,-2.417170524597168
19,-0.4162033796310425,-2.6355979442596436
20,-0.8430612087249756,-2.6913440227508545
21,-1.0455400943756104,-2.4622538089752197
22,-1.534488320350647,-2.065335273742676
23,-1.3072147369384766,-2.0076394081115723
24,-1.338266134262085,-1.7334718704223633
25,-1.727776288986206,-1.363437294960022
26,-1.4300827980041504,-0.915855884552002
27,-1.7441471815109253,-1.3472247123718262
28,-1.755821704864502,-1.0581008195877075
29,-2.0532495975494385,-0.975570559501648
30,-2.1501190662384033,-0.751246452331543
31,-2.5087687969207764,-0.9570081233978271
32,-2.3945963382720947,-0.9213676452636719
33,-2.511387586593628,-0.6341977119445801
34,-2.23569393157959,-0.6432414054870605
35,-2.542400598526001,-0.4427213668823242
36,-2.471867561340332,-0.7908439636230469
37,-1.8954635858535767,-0.24725651741027832
38,-2.2303850650787354,-0.07179594039916992
39,-2.2449591159820557,-0.6982977390289307
40,-2.00373911857605,-0.49645376205444336
41,-2.2131810188293457,-0.1211857795715332
42,-2.4899003505706787,-0.4671635627746582
43,-1.8294495344161987,-0.7008543014526367
44,-2.2736127376556396,-0.03321981430053711
45,-1.836539387702942,-0.31814777851104736
46,-2.2086641788482666,-0.4766817092895508
47,-2.2939274311065674,-0.26999735832214355
48,-2.3746683597564697,-0.16887617111206055
49,-2.0795891284942627,0.14899945259094238
50,-1.905099630355835,-0.3030968904495239
51,-2.3130593299865723,-0.3708711862564087
52,-1.9568511247634888,0.019829988479614258
53,-1.9497891664505005,-0.5107612609863281
54,-1.6874696016311646,-0.5461499691009521
55,-1.6460797786712646,-0.16895031929016113
56,-1.5086673498153687,-0.11654841899871826
57,-1.252914309501648,-0.353118896484375
58,-1.5042643547058105,-0.35335540771484375
59,-2.0447919368743896,-0.9844297170639038
60,-1.8431015014648438,-0.07114958763122559
61,-1.7448267936706543,-0.34225523471832275
62,-1.2589741945266724,0.11937165260314941
63,-2.119368076324463,-0.277768611907959
64,-1.646290898323059,-0.5294787883758545
65,-1.4632151126861572,0.19705605506896973
66,-1.863507866859436,-0.5014708042144775
67,-2.021982431411743,-0.018735647201538086
68,-1.7418663501739502,0.1277252435684204
69,-2.1029539108276367,-0.2548215389251709
70,-1.5952308177947998,-0.22839927673339844
71,-1.6906554698944092,-0.3768268823623657
72,-1.3679897785186768,-0.06914472579956055
73,-1.551002025604248,0.3218790292739868
74,-1.2708169221878052,0.01833939552307129
75,-1.4040298461914062,-0.11676549911499023
76,-1.4246548414230347,-0.2591285705566406
77,-1.7884140014648438,0.14880108833312988
78,-1.1289652585983276,-0.3163250684738159
79,-1.540874719619751,0.07772314548492432
80,-1.5238056182861328,0.35012173652648926
81,-1.5811254978179932,-0.747534990310669
82,-1.7041282653808594,-0.46787309646606445
83,-1.151657223701477,-0.3158465623855591
84,-1.509373426437378,-0.13261187076568604
85,-1.4478007555007935,0.1904822587966919
86,-1.8967353105545044,0.15856611728668213
87,-1.4133987426757812,-0.480816125869751
88,-1.6407393217086792,-0.03884387016296387
89,-1.584316372871399,0.3033500909805298
90,-1.9855092763900757,-0.1893601417541504
91,-1.2562087774276733,0.058336734771728516
92,-1.950161337852478,-0.04905581474304199
93,-1.5539957284927368,-0.48441362380981445
94,-1.5364934206008911,-0.17550945281982422
95,-1.528651475906372,0.32147932052612305
96,-1.1738780736923218,0.39045250415802
97,-1.3521183729171753,-0.4856158494949341
98,-2.0262646675109863,0.4198024272918701
99,-1.5701568126678467,0.7679380178451538
100,-1.4450725317001343,-0.4793555736541748
101,-1.0760701894760132,0.2360994815826416
102,-1.1262335777282715,-0.9082555770874023
103,-1.952059030532837,0.47396934032440186
104,-1.2486469745635986,-0.36830997467041016
105,-1.6612415313720703,-0.39564526081085205
106,-1.6495252847671509,0.41369104385375977
107,-1.8443553447723389,0.03427994251251221
108,-1.3245645761489868,0.03249406814575195
